MUNICIPIO DE DESTINO,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aldeamayor de San Martín,77,39,51,79,73,99,84,97,114,239,226,273,397,269,162,113,121,118,81,141,140,128,133,130,160
Arroyo de la Encomienda,314,435,416,384,512,400,534,676,1110,1185,793,605,811,1230,907,796,659,738,553,544,487,650,574,417,594
Boecillo,100,97,88,120,159,160,170,118,110,209,188,153,119,123,116,87,92,79,70,66,92,69,91,88,103
Cabezón de Pisuerga,42,44,58,77,118,137,153,170,179,193,166,166,99,83,95,96,79,55,62,80,86,77,86,62,79
Castronuevo de Esgueva,2,16,15,11,14,10,11,20,8,12,16,5,11,6,8,4,6,12,3,4,3,10,11,10,16
Cigales,81,122,121,133,124,101,141,159,192,192,207,217,210,188,128,169,129,147,103,116,136,100,108,98,114
Ciguñuela,15,16,5,3,10,6,6,3,23,9,10,6,22,13,8,8,10,8,6,6,5,7,2,8,1
Cistérniga,142,418,534,255,319,304,531,597,543,555,352,285,248,279,245,235,247,186,186,163,185,174,123,133,161
Fuensaldaña,45,13,33,55,59,54,38,69,49,52,59,48,65,49,30,37,43,75,45,51,58,87,123,56,84
Geria,4,3,10,14,7,8,10,10,4,4,9,6,4,9,4,11,4,5,1,5,1,1,6,8,2
Laguna de Duero,370,892,867,890,1069,706,460,378,431,429,358,357,406,455,336,431,349,284,280,236,219,235,230,229,262
Mucientes,12,5,6,5,7,18,21,14,29,25,17,40,23,12,16,15,13,17,11,9,20,17,17,11,21
Pedraja de Portillo (La),2,4,21,3,17,6,27,14,7,11,18,12,11,18,23,10,10,20,14,9,9,15,13,13,8
Renedo de Esgueva,2,40,80,59,66,62,30,232,319,261,243,249,159,149,150,143,149,123,127,83,92,95,100,89,111
Robladillo,,,,,,,,,,,,,,,,,,,0,0,6,3,0,0,1
Santovenia de Pisuerga,192,152,172,169,199,192,162,220,202,248,163,287,210,193,162,121,183,162,130,149,131,191,152,122,138
Simancas,128,129,163,145,290,235,199,208,211,176,200,156,156,142,107,117,84,104,89,81,128,152,126,142,180
Tudela de Duero,129,171,170,152,200,194,191,237,235,200,176,152,156,146,126,123,101,100,96,87,106,141,111,96,151
Valdestillas,18,31,45,25,35,41,41,52,76,46,47,32,18,22,40,31,37,24,20,12,24,14,27,20,28
Viana de Cega,33,75,67,47,85,68,59,79,74,52,44,53,50,55,40,40,25,43,48,50,37,49,63,103,41
Villanubla,1,19,36,68,85,76,50,107,61,195,138,131,94,91,83,68,67,68,58,55,60,49,54,60,79
Villanueva de Duero,27,34,43,40,57,46,54,59,43,55,32,34,26,29,32,30,34,19,15,21,17,30,26,29,32
Wamba,,,,,,,,,,,,,,,,,,,2,1,0,4,2,1,6
Zaratán,9,23,146,154,149,129,252,529,579,591,330,254,208,317,258,172,192,181,176,123,145,166,151,122,150
